,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),Dataset
127,Ada Boost Classifier,0.1852,0.0,0.1852,0.0453,0.0683,-0.0065,-0.0069,39.966,FeatRed08_noPMA_482Features
128,Extreme Gradient Boosting,0.2765,0.755,0.2765,0.2372,0.2479,0.2233,0.2247,59.454,FeatRed08_PMA+noPMA_964Features
129,Linear Discriminant Analysis,0.2339,0.0,0.2339,0.3015,0.247,0.1904,0.1965,2.204,FeatRed08_PMA+noPMA_964Features
130,CatBoost Classifier,0.2934,0.773,0.2934,0.2421,0.2468,0.2338,0.2391,168.812,FeatRed08_PMA+noPMA_964Features
131,K Neighbors Classifier,0.2433,0.6378,0.2433,0.2521,0.2351,0.194,0.1959,0.95,FeatRed08_PMA+noPMA_964Features
132,Random Forest Classifier,0.2833,0.714,0.2833,0.2243,0.2325,0.2195,0.2256,7.24,FeatRed08_PMA+noPMA_964Features
133,Extra Trees Classifier,0.2794,0.7179,0.2794,0.2228,0.2298,0.2147,0.2209,1.71,FeatRed08_PMA+noPMA_964Features
134,SVM - Linear Kernel,0.2354,0.0,0.2354,0.2417,0.2222,0.1884,0.2154,0.828,FeatRed08_PMA+noPMA_964Features
135,Naive Bayes,0.1941,0.6606,0.1941,0.2657,0.2132,0.1621,0.1706,2.486,FeatRed08_PMA+noPMA_964Features
136,Decision Tree Classifier,0.2127,0.5966,0.2127,0.2153,0.2131,0.1681,0.1682,54.544,FeatRed08_PMA+noPMA_964Features
137,Light Gradient Boosting Machine,0.2482,0.7136,0.2482,0.2118,0.21,0.1904,0.2123,189.882,FeatRed08_PMA+noPMA_964Features
138,Ridge Classifier,0.2559,0.0,0.2559,0.1327,0.1514,0.1429,0.1674,0.536,FeatRed08_PMA+noPMA_964Features
139,Logistic Regression,0.2345,0.0,0.2345,0.1066,0.1228,0.0978,0.1244,2.274,FeatRed08_PMA+noPMA_964Features
140,HistGradientBoostingClassifier,0.1312,0.0,0.1312,0.1306,0.088,0.0364,0.0479,130.366,FeatRed08_PMA+noPMA_964Features
141,Quadratic Discriminant Analysis,0.2053,0.0,0.2053,0.0423,0.0702,0.0005,0.0046,6.382,FeatRed08_PMA+noPMA_964Features
142,Dummy Classifier,0.2055,0.5,0.2055,0.0422,0.07,0.0,0.0,0.46,FeatRed08_PMA+noPMA_964Features
143,Ada Boost Classifier,0.1805,0.0,0.1805,0.0487,0.0684,-0.0098,-0.0173,79.526,FeatRed08_PMA+noPMA_964Features
